"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002EA","B08201_002M","B08201_002MA","B08201_003E","B08201_003M","B08201_003MA","B08201_003EA","B08201_004E","B08201_004M","B08201_004MA","B08201_004EA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012EA","B08201_012M","B08201_012MA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014M","B08201_014MA","B08201_014EA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016M","B08201_016MA","B08201_016EA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027M","B08201_027MA","B08201_027EA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53033009702","Census Tract 97.02, King County, Washington","2358","null","93","null","50","null","47","null","981","157","null","null","1030","175","null","null","285","107","null","null","12","null","21","null","712","null","122","null","36","42","null","null","635","null","125","null","41","44","null","null","0","null","17","null","0","null","17","null","842","169","null","null","14","21","null","null","200","94","null","null","525","144","null","null","103","62","null","null","0","null","17","null","306","null","111","null","0","null","17","null","84","60","null","null","127","64","null","null","95","null","72","null","0","null","17","null","498","68","null","null","0","17","null","null","62","57","null","null","337","null","86","null","87","null","49","null","12","21","null","null",
"1400000US53033009800","Census Tract 98, King County, Washington","3127","null","121","null","224","null","95","null","1266","189","null","null","1219","189","null","null","256","116","null","null","162","null","86","null","879","null","167","null","157","72","null","null","651","null","148","null","71","74","null","null","0","null","17","null","0","null","17","null","1236","196","null","null","14","22","null","null","472","160","null","null","657","157","null","null","93","71","null","null","0","null","17","null","416","null","153","null","39","null","59","null","97","57","null","null","147","84","null","null","71","null","61","null","62","null","56","null","596","129","null","null","14","21","null","null","46","43","null","null","344","null","121","null","92","null","68","null","100","70","null","null",
"1400000US53033009900","Census Tract 99, King County, Washington","2858","null","148","null","255","null","144","null","1344","209","null","null","970","184","null","null","234","115","null","null","55","null","52","null","1134","null","218","null","245","143","null","null","830","null","196","null","59","52","null","null","0","null","17","null","0","null","17","null","1084","171","null","null","10","18","null","null","451","149","null","null","508","151","null","null","99","63","null","null","16","null","26","null","406","null","124","null","0","null","17","null","63","61","null","null","281","106","null","null","62","null","66","null","0","null","17","null","234","99","null","null","0","17","null","null","0","17","null","null","122","null","56","null","73","null","85","null","39","45","null","null",
"1400000US53033010001","Census Tract 100.01, King County, Washington","1539","null","90","null","292","null","118","null","558","145","null","null","478","99","null","null","169","59","null","null","42","null","36","null","423","null","119","null","171","95","null","null","223","null","87","null","20","23","null","null","9","null","14","null","0","null","12","null","470","120","null","null","55","51","null","null","171","95","null","null","221","66","null","null","0","12","null","null","23","null","25","null","225","null","77","null","11","null","18","null","85","56","null","null","51","42","null","null","78","null","37","null","0","null","12","null","421","85","null","null","55","56","null","null","79","74","null","null","186","null","79","null","82","null","49","null","19","24","null","null",
"1400000US53033010002","Census Tract 100.02, King County, Washington","1859","null","85","null","214","null","82","null","729","144","null","null","604","132","null","null","203","68","null","null","109","null","60","null","438","null","114","null","127","59","null","null","284","null","98","null","27","24","null","null","0","null","12","null","0","null","12","null","552","115","null","null","39","49","null","null","196","80","null","null","239","82","null","null","35","31","null","null","43","null","31","null","448","null","99","null","29","null","25","null","176","82","null","null","138","67","null","null","105","null","50","null","0","null","12","null","421","110","null","null","19","20","null","null","73","60","null","null","200","null","99","null","63","null","34","null","66","49","null","null",
"1400000US53033010100","Census Tract 101, King County, Washington","3105","null","136","null","510","null","198","null","1206","211","null","null","1040","241","null","null","264","100","null","null","85","null","55","null","1033","null","215","null","364","181","null","null","578","null","189","null","91","75","null","null","0","null","17","null","0","null","17","null","863","200","null","null","106","70","null","null","321","103","null","null","293","128","null","null","130","82","null","null","13","null","21","null","407","null","124","null","0","null","17","null","30","34","null","null","311","114","null","null","66","null","61","null","0","null","17","null","802","149","null","null","40","44","null","null","277","162","null","null","345","null","119","null","68","null","57","null","72","51","null","null",
"1400000US53033010200","Census Tract 102, King County, Washington","1954","null","89","null","80","null","61","null","645","84","null","null","955","106","null","null","192","58","null","null","82","null","43","null","617","null","109","null","68","55","null","null","431","null","85","null","96","54","null","null","12","null","17","null","10","null","17","null","705","110","null","null","0","12","null","null","132","51","null","null","475","102","null","null","81","47","null","null","17","null","27","null","267","null","67","null","0","null","12","null","22","23","null","null","160","57","null","null","77","null","32","null","8","null","13","null","365","62","null","null","12","20","null","null","60","51","null","null","224","null","67","null","22","null","20","null","47","28","null","null",
"1400000US53033010300","Census Tract 103, King County, Washington","2793","null","110","null","365","null","168","null","1306","215","null","null","762","187","null","null","245","119","null","null","115","null","59","null","948","null","192","null","328","161","null","null","454","null","163","null","92","78","null","null","74","null","89","null","0","null","17","null","1048","168","null","null","28","33","null","null","495","149","null","null","449","150","null","null","76","52","null","null","0","null","17","null","209","null","93","null","9","null","15","null","72","67","null","null","86","52","null","null","27","null","30","null","15","null","24","null","588","131","null","null","0","17","null","null","285","106","null","null","135","null","82","null","68","null","48","null","100","55","null","null",
"1400000US53033010401","Census Tract 104.01, King County, Washington","1493","null","75","null","136","null","64","null","465","99","null","null","601","122","null","null","183","66","null","null","108","null","50","null","287","null","88","null","44","35","null","null","119","null","55","null","102","66","null","null","9","null","14","null","13","null","21","null","509","100","null","null","25","27","null","null","206","84","null","null","239","84","null","null","22","25","null","null","17","null","20","null","271","null","85","null","20","null","32","null","60","51","null","null","134","62","null","null","41","null","32","null","16","null","17","null","426","83","null","null","47","40","null","null","80","48","null","null","126","null","51","null","111","null","47","null","62","38","null","null",
"1400000US53033010402","Census Tract 104.02, King County, Washington","1730","null","72","null","203","null","77","null","549","126","null","null","504","118","null","null","400","84","null","null","74","null","40","null","378","null","98","null","121","54","null","null","195","null","80","null","62","46","null","null","0","null","12","null","0","null","12","null","576","109","null","null","76","61","null","null","217","85","null","null","217","89","null","null","56","43","null","null","10","null","15","null","312","null","89","null","6","null","10","null","70","53","null","null","74","46","null","null","116","null","59","null","46","null","35","null","464","93","null","null","0","12","null","null","67","41","null","null","151","null","80","null","228","null","73","null","18","19","null","null",
