"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006M","B08201_006MA","B08201_006EA","B08201_007E","B08201_007M","B08201_007MA","B08201_007EA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019M","B08201_019MA","B08201_019EA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023M","B08201_023MA","B08201_023EA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53053060903","Census Tract 609.03, Pierce County, Washington","1414","null","57","null","128","54","null","null","447","null","92","null","501","null","85","null","177","null","80","null","161","70","null","null","422","79","null","null","118","49","null","null","266","null","76","null","20","23","null","null","10","16","null","null","8","13","null","null","597","85","null","null","10","null","16","null","127","63","null","null","332","null","68","null","73","null","55","null","55","53","null","null","143","60","null","null","0","12","null","null","29","47","null","null","64","null","40","null","29","21","null","null","21","20","null","null","252","86","null","null","0","12","null","null","25","null","38","null","85","null","36","null","65","53","null","null","77","45","null","null",
"1400000US53053060904","Census Tract 609.04, Pierce County, Washington","2195","null","131","null","94","74","null","null","908","null","170","null","703","null","176","null","311","null","115","null","179","114","null","null","915","169","null","null","34","40","null","null","705","null","166","null","176","105","null","null","0","17","null","null","0","17","null","null","569","130","null","null","30","null","37","null","178","95","null","null","235","null","93","null","61","null","46","null","65","74","null","null","283","119","null","null","12","21","null","null","25","31","null","null","85","null","69","null","161","111","null","null","0","17","null","null","428","129","null","null","18","28","null","null","0","null","17","null","207","null","97","null","89","49","null","null","114","89","null","null",
"1400000US53053060905","Census Tract 609.05, Pierce County, Washington","3054","null","122","null","382","131","null","null","1308","null","192","null","898","null","150","null","368","null","128","null","98","90","null","null","1127","195","null","null","330","120","null","null","715","null","190","null","82","57","null","null","0","17","null","null","0","17","null","null","1285","202","null","null","52","null","48","null","455","147","null","null","621","null","127","null","94","null","55","null","63","80","null","null","249","117","null","null","0","17","null","null","45","66","null","null","67","null","52","null","137","90","null","null","0","17","null","null","393","116","null","null","0","17","null","null","93","null","91","null","128","null","69","null","137","78","null","null","35","43","null","null",
"1400000US53053060906","Census Tract 609.06, Pierce County, Washington","919","null","21","null","22","15","null","null","308","null","57","null","447","null","63","null","127","null","41","null","15","13","null","null","276","52","null","null","13","11","null","null","218","null","50","null","45","32","null","null","0","12","null","null","0","12","null","null","344","58","null","null","4","null","7","null","39","23","null","null","221","null","49","null","71","null","33","null","9","10","null","null","165","51","null","null","5","7","null","null","31","21","null","null","111","null","40","null","18","15","null","null","0","12","null","null","134","36","null","null","0","12","null","null","20","null","19","null","70","null","33","null","38","26","null","null","6","8","null","null",
"1400000US53053061001","Census Tract 610.01, Pierce County, Washington","1658","null","99","null","147","64","null","null","484","null","109","null","712","null","112","null","189","null","63","null","126","53","null","null","549","103","null","null","107","61","null","null","371","null","92","null","62","38","null","null","0","12","null","null","9","14","null","null","683","124","null","null","19","null","20","null","66","40","null","null","469","null","112","null","113","null","46","null","16","18","null","null","210","67","null","null","21","22","null","null","47","40","null","null","93","null","51","null","34","28","null","null","15","17","null","null","216","63","null","null","0","12","null","null","0","null","12","null","88","null","46","null","42","41","null","null","86","48","null","null",
"1400000US53053061002","Census Tract 610.02, Pierce County, Washington","2059","null","148","null","330","129","null","null","972","null","184","null","495","null","128","null","222","null","94","null","40","42","null","null","792","159","null","null","169","78","null","null","558","null","146","null","35","32","null","null","30","32","null","null","0","12","null","null","869","202","null","null","161","null","111","null","232","147","null","null","362","null","124","null","86","null","53","null","28","38","null","null","217","145","null","null","0","12","null","null","136","121","null","null","47","null","58","null","34","35","null","null","0","12","null","null","181","102","null","null","0","12","null","null","46","null","70","null","51","null","57","null","72","66","null","null","12","20","null","null",
"1400000US53053061100","Census Tract 611, Pierce County, Washington","2903","null","92","null","468","115","null","null","960","null","160","null","948","null","183","null","433","null","126","null","94","65","null","null","1190","173","null","null","371","100","null","null","660","null","152","null","159","105","null","null","0","17","null","null","0","17","null","null","798","165","null","null","86","null","58","null","183","90","null","null","370","null","126","null","142","null","64","null","17","27","null","null","394","115","null","null","0","17","null","null","34","30","null","null","253","null","101","null","85","62","null","null","22","35","null","null","521","101","null","null","11","20","null","null","83","null","69","null","166","null","104","null","206","99","null","null","55","46","null","null",
"1400000US53053061200","Census Tract 612, Pierce County, Washington","1953","null","110","null","162","70","null","null","667","null","125","null","687","null","116","null","277","null","89","null","160","72","null","null","520","130","null","null","110","62","null","null","347","null","97","null","54","35","null","null","9","14","null","null","0","17","null","null","619","106","null","null","52","null","46","null","141","63","null","null","301","null","72","null","110","null","62","null","15","20","null","null","421","135","null","null","0","17","null","null","103","79","null","null","219","null","88","null","52","48","null","null","47","35","null","null","393","81","null","null","0","17","null","null","76","null","55","null","113","null","56","null","106","54","null","null","98","55","null","null",
"1400000US53053061300","Census Tract 613, Pierce County, Washington","1797","null","113","null","284","87","null","null","644","null","131","null","554","null","128","null","215","null","83","null","100","56","null","null","527","124","null","null","191","79","null","null","293","null","104","null","24","21","null","null","19","23","null","null","0","17","null","null","528","104","null","null","75","null","52","null","127","62","null","null","246","null","77","null","47","null","41","null","33","30","null","null","262","86","null","null","0","17","null","null","78","44","null","null","95","null","53","null","41","31","null","null","48","46","null","null","480","93","null","null","18","16","null","null","146","null","72","null","189","null","73","null","108","58","null","null","19","18","null","null",
"1400000US53053061400","Census Tract 614, Pierce County, Washington","1262","null","129","null","470","105","null","null","578","null","121","null","138","null","55","null","55","null","32","null","21","21","null","null","694","123","null","null","302","87","null","null","358","null","104","null","18","27","null","null","0","12","null","null","16","18","null","null","307","91","null","null","118","null","58","null","139","68","null","null","50","null","31","null","0","null","12","null","0","12","null","null","120","66","null","null","31","48","null","null","18","21","null","null","31","null","27","null","40","28","null","null","0","12","null","null","141","36","null","null","19","21","null","null","63","null","41","null","39","null","30","null","15","16","null","null","5","10","null","null",
