"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007M","B08201_007MA","B08201_007EA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009M","B08201_009MA","B08201_009EA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016M","B08201_016MA","B08201_016EA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53005010300","Census Tract 103, Benton County, Washington","2303","null","117","null","11","18","null","null","783","null","209","null","1036","null","190","null","364","null","115","null","109","null","55","null","762","173","null","null","11","null","18","null","493","172","null","null","216","122","null","null","31","null","37","null","11","18","null","null","861","182","null","null","0","null","17","null","134","80","null","null","555","157","null","null","134","71","null","null","38","37","null","null","157","null","84","null","0","17","null","null","31","36","null","null","72","null","53","null","54","null","63","null","0","17","null","null","523","102","null","null","0","17","null","null","125","null","94","null","193","null","80","null","145","83","null","null","60","42","null","null",
"1400000US53005010400","Census Tract 104, Benton County, Washington","1527","null","78","null","99","52","null","null","620","null","106","null","519","null","113","null","178","null","74","null","111","null","48","null","464","104","null","null","35","null","33","null","320","94","null","null","63","36","null","null","23","null","22","null","23","25","null","null","552","102","null","null","58","null","46","null","182","69","null","null","276","95","null","null","28","26","null","null","8","14","null","null","286","null","82","null","6","11","null","null","49","45","null","null","123","null","64","null","65","null","53","null","43","30","null","null","225","49","null","null","0","12","null","null","69","null","49","null","57","null","51","null","62","45","null","null","37","33","null","null",
"1400000US53005010500","Census Tract 105, Benton County, Washington","1005","null","93","null","70","43","null","null","234","null","76","null","366","null","83","null","242","null","106","null","93","null","58","null","268","109","null","null","52","null","38","null","104","52","null","null","60","61","null","null","52","null","82","null","0","12","null","null","244","85","null","null","0","null","12","null","71","43","null","null","91","47","null","null","82","62","null","null","0","12","null","null","206","null","85","null","0","12","null","null","43","45","null","null","74","null","46","null","59","null","55","null","30","27","null","null","287","84","null","null","18","20","null","null","16","null","19","null","141","null","57","null","49","28","null","null","63","51","null","null",
"1400000US53005010600","Census Tract 106, Benton County, Washington","1631","null","100","null","73","53","null","null","741","null","114","null","470","null","98","null","185","null","75","null","162","null","69","null","575","129","null","null","48","null","49","null","453","127","null","null","56","44","null","null","18","null","26","null","0","12","null","null","441","105","null","null","18","null","15","null","150","74","null","null","214","72","null","null","34","28","null","null","25","30","null","null","231","null","75","null","7","10","null","null","68","44","null","null","76","null","41","null","52","null","37","null","28","24","null","null","384","96","null","null","0","12","null","null","70","null","53","null","124","null","74","null","81","53","null","null","109","54","null","null",
"1400000US53005010701","Census Tract 107.01, Benton County, Washington","717","null","68","null","0","12","null","null","49","null","38","null","337","null","81","null","261","null","93","null","70","null","44","null","87","54","null","null","0","null","12","null","10","12","null","null","57","45","null","null","14","null","19","null","6","10","null","null","329","75","null","null","0","null","12","null","20","19","null","null","168","74","null","null","135","62","null","null","6","10","null","null","73","null","46","null","0","12","null","null","3","5","null","null","27","null","31","null","12","null","16","null","31","30","null","null","228","68","null","null","0","12","null","null","16","null","28","null","85","null","61","null","100","63","null","null","27","30","null","null",
"1400000US53005010703","Census Tract 107.03, Benton County, Washington","1181","null","109","null","13","20","null","null","545","null","128","null","296","null","109","null","102","null","63","null","225","null","76","null","405","134","null","null","13","null","20","null","328","132","null","null","64","59","null","null","0","null","12","null","0","12","null","null","404","121","null","null","0","null","12","null","137","91","null","null","112","69","null","null","77","55","null","null","78","49","null","null","191","null","83","null","0","12","null","null","11","16","null","null","103","null","66","null","15","null","24","null","62","49","null","null","181","52","null","null","0","12","null","null","69","null","37","null","17","null","30","null","10","18","null","null","85","52","null","null",
"1400000US53005010705","Census Tract 107.05, Benton County, Washington","1691","null","96","null","17","29","null","null","151","null","70","null","593","null","137","null","466","null","134","null","464","null","128","null","137","66","null","null","0","null","17","null","89","53","null","null","48","39","null","null","0","null","17","null","0","17","null","null","560","143","null","null","0","null","17","null","32","29","null","null","247","96","null","null","132","75","null","null","149","119","null","null","343","null","103","null","0","17","null","null","11","18","null","null","89","null","60","null","150","null","79","null","93","62","null","null","651","109","null","null","17","29","null","null","19","null","23","null","209","null","104","null","184","83","null","null","222","93","null","null",
"1400000US53005010707","Census Tract 107.07, Benton County, Washington","890","null","50","null","0","12","null","null","155","null","87","null","471","null","93","null","198","null","73","null","66","null","50","null","167","77","null","null","0","null","12","null","92","70","null","null","14","21","null","null","61","null","59","null","0","12","null","null","339","102","null","null","0","null","12","null","51","63","null","null","243","90","null","null","22","32","null","null","23","27","null","null","80","null","54","null","0","12","null","null","0","12","null","null","20","null","22","null","37","null","31","null","23","33","null","null","304","71","null","null","0","12","null","null","12","null","20","null","194","null","76","null","78","46","null","null","20","22","null","null",
"1400000US53005010708","Census Tract 107.08, Benton County, Washington","834","null","96","null","0","12","null","null","213","null","71","null","339","null","88","null","152","null","65","null","130","null","58","null","197","91","null","null","0","null","12","null","120","59","null","null","72","58","null","null","5","null","11","null","0","12","null","null","340","92","null","null","0","null","12","null","80","50","null","null","177","71","null","null","60","38","null","null","23","20","null","null","98","null","53","null","0","12","null","null","0","12","null","null","61","null","41","null","15","null","24","null","22","27","null","null","199","52","null","null","0","12","null","null","13","null","22","null","29","null","28","null","72","47","null","null","85","44","null","null",
"1400000US53005010803","Census Tract 108.03, Benton County, Washington","2452","null","157","null","104","62","null","null","438","null","125","null","1002","null","145","null","765","null","155","null","143","null","71","null","530","145","null","null","93","null","58","null","234","95","null","null","74","49","null","null","100","null","99","null","29","48","null","null","907","132","null","null","0","null","17","null","156","86","null","null","440","108","null","null","299","84","null","null","12","19","null","null","436","null","105","null","0","17","null","null","28","34","null","null","169","null","66","null","190","null","76","null","49","32","null","null","579","101","null","null","11","18","null","null","20","null","23","null","319","null","77","null","176","83","null","null","53","35","null","null",
