"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_001MA","B08201_001EA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010EA","B08201_010M","B08201_010MA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013EA","B08201_013M","B08201_013MA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015EA","B08201_015M","B08201_015MA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025EA","B08201_025M","B08201_025MA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030EA","B08201_030M","B08201_030MA",
"1400000US53033030202","Census Tract 302.02, King County, Washington","2583","126","null","null","114","68","null","null","960","null","200","null","930","null","212","null","328","null","174","null","251","null","159","null","737","null","173","null","68","null","57","null","508","null","170","null","116","null","103","null","19","null","32","null","26","44","null","null","666","null","212","null","46","null","44","null","223","null","120","null","297","null","128","null","29","null","42","null","71","null","107","null","507","null","170","null","0","null","17","null","215","120","null","null","174","null","107","null","101","null","91","null","17","null","30","null","673","null","173","null","0","null","17","null","14","null","25","null","343","null","132","null","179","null","147","null","137","null","84","null",
"1400000US53033030304","Census Tract 303.04, King County, Washington","1318","88","null","null","71","63","null","null","342","null","135","null","537","null","164","null","246","null","87","null","122","null","60","null","151","null","84","null","0","null","12","null","79","null","62","null","72","null","56","null","0","null","12","null","0","12","null","null","397","null","111","null","18","null","31","null","164","null","99","null","165","null","74","null","40","null","35","null","10","null","16","null","261","null","77","null","14","null","22","null","11","16","null","null","91","null","49","null","117","null","60","null","28","null","27","null","509","null","127","null","39","null","48","null","88","null","89","null","209","null","134","null","89","null","56","null","84","null","56","null",
"1400000US53033030305","Census Tract 303.05, King County, Washington","2062","103","null","null","105","98","null","null","789","null","181","null","769","null","172","null","285","null","93","null","114","null","78","null","649","null","179","null","73","null","77","null","521","null","175","null","55","null","53","null","0","null","12","null","0","12","null","null","790","null","186","null","32","null","52","null","190","null","111","null","446","null","135","null","109","null","65","null","13","null","21","null","228","null","104","null","0","null","12","null","63","63","null","null","79","null","67","null","86","null","57","null","0","null","12","null","395","null","114","null","0","null","12","null","15","null","33","null","189","null","90","null","90","null","58","null","101","null","77","null",
"1400000US53033030306","Census Tract 303.06, King County, Washington","1821","98","null","null","31","30","null","null","389","null","117","null","683","null","123","null","347","null","90","null","371","null","102","null","230","null","96","null","0","null","17","null","193","null","92","null","29","null","25","null","8","null","13","null","0","17","null","null","697","null","125","null","16","null","19","null","104","null","61","null","391","null","96","null","150","null","53","null","36","null","35","null","406","null","126","null","15","null","22","null","79","52","null","null","117","null","54","null","101","null","69","null","94","null","94","null","488","null","111","null","0","null","17","null","13","null","17","null","146","null","63","null","88","null","42","null","241","null","82","null",
"1400000US53033030308","Census Tract 303.08, King County, Washington","2383","68","null","null","134","102","null","null","751","null","188","null","888","null","177","null","380","null","159","null","230","null","97","null","414","null","144","null","32","null","36","null","329","null","129","null","36","null","43","null","0","null","17","null","17","27","null","null","850","null","185","null","38","null","48","null","274","null","152","null","407","null","147","null","117","null","104","null","14","null","21","null","480","null","193","null","64","null","82","null","65","82","null","null","135","null","79","null","191","null","123","null","25","null","34","null","639","null","108","null","0","null","17","null","83","null","70","null","310","null","96","null","72","null","56","null","174","null","92","null",
"1400000US53033030309","Census Tract 303.09, King County, Washington","2469","143","null","null","125","68","null","null","1298","null","206","null","635","null","171","null","264","null","110","null","147","null","70","null","1023","null","188","null","72","null","54","null","908","null","192","null","43","null","40","null","0","null","17","null","0","17","null","null","804","null","192","null","15","null","25","null","295","null","150","null","419","null","142","null","75","null","58","null","0","null","17","null","223","null","106","null","0","null","17","null","81","69","null","null","87","null","65","null","38","null","43","null","17","null","29","null","419","null","89","null","38","null","39","null","14","null","24","null","86","null","51","null","151","null","82","null","130","null","75","null",
"1400000US53033030310","Census Tract 303.10, King County, Washington","2162","79","null","null","139","70","null","null","428","null","126","null","895","null","140","null","429","null","107","null","271","null","97","null","419","null","116","null","113","null","59","null","287","null","116","null","9","null","14","null","10","null","16","null","0","17","null","null","596","null","106","null","0","null","17","null","107","null","47","null","355","null","90","null","112","null","49","null","22","null","22","null","286","null","75","null","5","null","11","null","21","24","null","null","144","null","63","null","64","null","40","null","52","null","35","null","861","null","148","null","21","null","24","null","13","null","15","null","387","null","121","null","243","null","94","null","197","null","87","null",
"1400000US53033030311","Census Tract 303.11, King County, Washington","1626","87","null","null","42","34","null","null","217","null","79","null","814","null","106","null","429","null","101","null","124","null","55","null","148","null","62","null","6","null","10","null","95","null","50","null","21","null","21","null","26","null","25","null","0","17","null","null","591","null","121","null","8","null","12","null","52","null","35","null","418","null","114","null","85","null","51","null","28","null","23","null","308","null","104","null","0","null","17","null","23","25","null","null","174","null","88","null","73","null","38","null","38","null","32","null","579","null","100","null","28","null","31","null","47","null","38","null","201","null","87","null","245","null","82","null","58","null","42","null",
"1400000US53033030312","Census Tract 303.12, King County, Washington","1807","83","null","null","96","59","null","null","559","null","138","null","640","null","137","null","254","null","103","null","258","null","112","null","375","null","115","null","50","null","56","null","217","null","89","null","74","null","54","null","0","null","17","null","34","51","null","null","693","null","149","null","8","null","14","null","257","null","102","null","269","null","89","null","105","null","78","null","54","null","60","null","297","null","112","null","8","null","14","null","34","36","null","null","90","null","69","null","102","null","60","null","63","null","49","null","442","null","105","null","30","null","17","null","51","null","65","null","207","null","63","null","47","null","35","null","107","null","66","null",
"1400000US53033030313","Census Tract 303.13, King County, Washington","1733","111","null","null","166","74","null","null","883","null","156","null","532","null","127","null","92","null","69","null","60","null","56","null","651","null","155","null","136","null","72","null","461","null","141","null","44","null","50","null","10","null","16","null","0","12","null","null","563","null","117","null","8","null","13","null","236","null","97","null","310","null","95","null","9","null","13","null","0","null","12","null","129","null","71","null","0","null","12","null","53","56","null","null","64","null","42","null","12","null","20","null","0","null","12","null","390","null","99","null","22","null","24","null","133","null","69","null","114","null","63","null","61","null","63","null","60","null","56","null",
"1400000US53033030314","Census Tract 303.14, King County, Washington","2000","98","null","null","602","160","null","null","643","null","158","null","434","null","137","null","234","null","111","null","87","null","53","null","913","null","151","null","435","null","137","null","431","null","130","null","34","null","27","null","13","null","19","null","0","12","null","null","537","null","168","null","94","null","81","null","108","null","73","null","224","null","90","null","111","null","96","null","0","null","12","null","235","null","102","null","0","null","12","null","28","37","null","null","165","null","105","null","13","null","22","null","29","null","35","null","315","null","102","null","73","null","56","null","76","null","80","null","11","null","29","null","97","null","64","null","58","null","52","null",
"1400000US53033030401","Census Tract 304.01, King County, Washington","3353","59","null","null","43","50","null","null","817","null","199","null","1431","null","251","null","772","null","177","null","290","null","125","null","517","null","175","null","0","null","17","null","389","null","139","null","81","null","85","null","47","null","43","null","0","17","null","null","1479","null","238","null","0","null","17","null","326","null","168","null","792","null","220","null","257","null","119","null","104","null","72","null","449","null","180","null","17","null","29","null","26","31","null","null","230","null","150","null","119","null","67","null","57","null","44","null","908","null","213","null","26","null","41","null","76","null","77","null","328","null","168","null","349","null","141","null","129","null","89","null",
"1400000US53033030403","Census Tract 304.03, King County, Washington","1848","97","null","null","72","68","null","null","534","null","121","null","719","null","124","null","349","null","104","null","174","null","69","null","468","null","128","null","72","null","68","null","303","null","104","null","61","null","41","null","32","null","40","null","0","12","null","null","779","null","113","null","0","null","12","null","151","null","60","null","441","null","95","null","174","null","82","null","13","null","19","null","203","null","99","null","0","null","12","null","80","70","null","null","78","null","46","null","45","null","38","null","0","null","12","null","398","null","73","null","0","null","12","null","0","null","12","null","139","null","61","null","98","null","51","null","161","null","66","null",
"1400000US53033030404","Census Tract 304.04, King County, Washington","1560","82","null","null","12","19","null","null","192","null","70","null","599","null","124","null","395","null","94","null","362","null","84","null","202","null","72","null","0","null","17","null","99","null","41","null","56","null","41","null","9","null","13","null","38","45","null","null","572","null","114","null","0","null","17","null","64","null","53","null","323","null","102","null","125","null","60","null","60","null","42","null","199","null","62","null","0","null","17","null","0","17","null","null","64","null","45","null","102","null","48","null","33","null","28","null","587","null","89","null","12","null","19","null","29","null","28","null","156","null","61","null","159","null","78","null","231","null","77","null",
"1400000US53033030501","Census Tract 305.01, King County, Washington","1040","103","null","null","302","86","null","null","418","null","76","null","209","null","52","null","107","null","43","null","4","null","6","null","616","null","102","null","284","null","86","null","283","null","65","null","44","null","34","null","5","null","9","null","0","12","null","null","227","null","69","null","18","null","23","null","82","null","38","null","111","null","43","null","16","null","14","null","0","null","12","null","115","null","36","null","0","null","12","null","18","16","null","null","34","null","21","null","63","null","32","null","0","null","12","null","82","null","41","null","0","null","12","null","35","null","27","null","20","null","17","null","23","null","25","null","4","null","6","null",
"1400000US53033030503","Census Tract 305.03, King County, Washington","2269","184","null","null","287","131","null","null","708","null","187","null","947","null","218","null","279","null","120","null","48","null","46","null","952","null","229","null","242","null","125","null","488","null","176","null","222","null","152","null","0","null","17","null","0","17","null","null","545","null","150","null","33","null","37","null","170","null","97","null","248","null","109","null","84","null","54","null","10","null","17","null","228","null","125","null","12","null","19","null","14","23","null","null","146","null","113","null","34","null","46","null","22","null","33","null","544","null","161","null","0","null","17","null","36","null","43","null","331","null","140","null","161","null","103","null","16","null","29","null",
"1400000US53033030504","Census Tract 305.04, King County, Washington","2001","109","null","null","207","110","null","null","778","null","149","null","709","null","142","null","221","null","90","null","86","null","71","null","688","null","115","null","140","null","94","null","443","null","119","null","98","null","48","null","7","null","12","null","0","12","null","null","628","null","138","null","36","null","46","null","185","null","85","null","317","null","96","null","86","null","63","null","4","null","7","null","349","null","120","null","0","null","12","null","75","60","null","null","142","null","84","null","118","null","70","null","14","null","24","null","336","null","87","null","31","null","41","null","75","null","49","null","152","null","94","null","10","null","15","null","68","null","65","null",
"1400000US53033030600","Census Tract 306, King County, Washington","2185","136","null","null","63","54","null","null","636","null","189","null","1084","null","222","null","222","null","109","null","180","null","94","null","671","null","173","null","23","null","37","null","407","null","139","null","149","null","121","null","92","null","92","null","0","17","null","null","835","null","202","null","40","null","41","null","171","null","104","null","554","null","195","null","58","null","43","null","12","null","16","null","132","null","73","null","0","null","17","null","27","28","null","null","26","null","33","null","25","null","30","null","54","null","61","null","547","null","117","null","0","null","17","null","31","null","51","null","355","null","160","null","47","null","37","null","114","null","88","null",
