"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003M","B08201_003MA","B08201_003EA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014M","B08201_014MA","B08201_014EA","B08201_015E","B08201_015EA","B08201_015M","B08201_015MA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021EA","B08201_021M","B08201_021MA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023M","B08201_023MA","B08201_023EA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028M","B08201_028MA","B08201_028EA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53033020800","Census Tract 208, King County, Washington","1640","null","97","null","51","32","null","null","454","100","null","null","568","null","93","null","368","92","null","null","199","null","71","null","428","null","94","null","32","25","null","null","363","null","91","null","26","24","null","null","0","12","null","null","7","11","null","null","564","100","null","null","0","12","null","null","85","null","40","null","299","null","75","null","116","52","null","null","64","44","null","null","389","null","96","null","7","null","13","null","0","null","12","null","134","62","null","null","210","74","null","null","38","35","null","null","259","72","null","null","12","null","18","null","6","null","15","null","109","54","null","null","42","30","null","null","90","47","null","null",
"1400000US53033020900","Census Tract 209, King County, Washington","1386","null","84","null","67","53","null","null","456","99","null","null","514","null","109","null","271","88","null","null","78","null","47","null","385","null","99","null","59","51","null","null","265","null","81","null","51","51","null","null","0","12","null","null","10","16","null","null","568","123","null","null","8","13","null","null","163","null","89","null","288","null","84","null","71","42","null","null","38","38","null","null","143","null","71","null","0","null","12","null","0","null","12","null","91","54","null","null","52","40","null","null","0","12","null","null","290","76","null","null","0","null","12","null","28","null","32","null","84","52","null","null","148","75","null","null","30","28","null","null",
"1400000US53033021000","Census Tract 210, King County, Washington","2129","null","81","null","182","95","null","null","771","179","null","null","751","null","165","null","239","122","null","null","186","null","100","null","527","null","140","null","139","73","null","null","374","null","125","null","14","21","null","null","0","17","null","null","0","17","null","null","675","154","null","null","0","17","null","null","183","null","93","null","344","null","113","null","52","41","null","null","96","86","null","null","474","null","161","null","43","null","67","null","89","null","75","null","199","120","null","null","123","92","null","null","20","23","null","null","453","70","null","null","0","null","17","null","125","null","81","null","194","77","null","null","64","50","null","null","70","52","null","null",
"1400000US53033021100","Census Tract 211, King County, Washington","1616","null","63","null","120","62","null","null","588","127","null","null","572","null","92","null","236","90","null","null","100","null","67","null","401","null","94","null","93","57","null","null","230","null","79","null","54","38","null","null","13","20","null","null","11","18","null","null","527","107","null","null","27","25","null","null","160","null","79","null","292","null","75","null","48","31","null","null","0","12","null","null","345","null","105","null","0","null","12","null","125","null","79","null","112","55","null","null","93","62","null","null","15","24","null","null","343","102","null","null","0","null","12","null","73","null","47","null","114","67","null","null","82","60","null","null","74","60","null","null",
"1400000US53033021300","Census Tract 213, King County, Washington","1606","null","109","null","67","37","null","null","752","122","null","null","542","null","101","null","136","60","null","null","109","null","55","null","608","null","118","null","43","30","null","null","509","null","118","null","49","36","null","null","7","11","null","null","0","12","null","null","535","102","null","null","14","15","null","null","190","null","65","null","243","null","85","null","68","41","null","null","20","16","null","null","171","null","60","null","10","null","16","null","31","null","29","null","92","45","null","null","16","20","null","null","22","20","null","null","292","86","null","null","0","null","12","null","22","null","22","null","158","60","null","null","45","44","null","null","67","45","null","null",
"1400000US53033021400","Census Tract 214, King County, Washington","1416","null","86","null","0","12","null","null","327","93","null","null","662","null","104","null","279","82","null","null","148","null","55","null","248","null","96","null","0","12","null","null","183","null","75","null","65","52","null","null","0","12","null","null","0","12","null","null","545","107","null","null","0","12","null","null","90","null","66","null","309","null","82","null","84","51","null","null","62","38","null","null","266","null","73","null","0","null","12","null","16","null","18","null","106","54","null","null","105","48","null","null","39","36","null","null","357","80","null","null","0","null","12","null","38","null","50","null","182","56","null","null","90","46","null","null","47","38","null","null",
"1400000US53033021500","Census Tract 215, King County, Washington","1669","null","101","null","22","25","null","null","260","80","null","null","911","null","123","null","337","95","null","null","139","null","60","null","246","null","75","null","12","19","null","null","160","null","61","null","74","52","null","null","0","12","null","null","0","12","null","null","716","88","null","null","10","16","null","null","87","null","54","null","466","null","94","null","112","55","null","null","41","40","null","null","335","null","88","null","0","null","12","null","13","null","21","null","157","62","null","null","146","64","null","null","19","21","null","null","372","57","null","null","0","null","12","null","0","null","12","null","214","57","null","null","79","46","null","null","79","43","null","null",
"1400000US53033021600","Census Tract 216, King County, Washington","1758","null","92","null","81","43","null","null","454","102","null","null","803","null","113","null","257","87","null","null","163","null","74","null","341","null","95","null","55","38","null","null","245","null","86","null","41","28","null","null","0","12","null","null","0","12","null","null","702","119","null","null","26","32","null","null","125","null","61","null","432","null","94","null","114","43","null","null","5","9","null","null","203","null","62","null","0","null","12","null","7","null","11","null","120","52","null","null","57","41","null","null","19","21","null","null","512","99","null","null","0","null","12","null","77","null","57","null","210","63","null","null","86","69","null","null","139","70","null","null",
"1400000US53033021700","Census Tract 217, King County, Washington","3353","null","175","null","235","111","null","null","1216","221","null","null","1335","null","199","null","298","107","null","null","269","null","90","null","1012","null","198","null","148","74","null","null","700","null","182","null","146","91","null","null","18","28","null","null","0","17","null","null","877","186","null","null","78","85","null","null","199","null","93","null","502","null","119","null","67","49","null","null","31","35","null","null","473","null","148","null","0","null","17","null","111","null","78","null","187","95","null","null","87","60","null","null","88","66","null","null","991","182","null","null","9","null","15","null","206","null","110","null","500","173","null","null","126","80","null","null","150","70","null","null",
"1400000US53033021802","Census Tract 218.02, King County, Washington","2096","null","126","null","5","11","null","null","749","156","null","null","1036","null","161","null","222","79","null","null","84","null","65","null","430","null","135","null","0","17","null","null","382","null","126","null","36","45","null","null","12","21","null","null","0","17","null","null","799","165","null","null","0","17","null","null","190","null","82","null","449","null","138","null","160","66","null","null","0","17","null","null","296","null","129","null","5","null","11","null","88","null","77","null","130","86","null","null","50","44","null","null","23","35","null","null","571","130","null","null","0","null","17","null","89","null","84","null","421","104","null","null","0","17","null","null","61","55","null","null",
"1400000US53033021803","Census Tract 218.03, King County, Washington","1811","null","120","null","83","51","null","null","645","123","null","null","673","null","116","null","324","90","null","null","86","null","57","null","456","null","112","null","56","30","null","null","350","null","102","null","40","36","null","null","10","16","null","null","0","12","null","null","748","135","null","null","27","43","null","null","173","null","77","null","352","null","100","null","185","74","null","null","11","16","null","null","208","null","74","null","0","null","12","null","46","null","29","null","115","56","null","null","37","29","null","null","10","15","null","null","399","100","null","null","0","null","12","null","76","null","68","null","166","61","null","null","92","48","null","null","65","54","null","null",
"1400000US53033021804","Census Tract 218.04, King County, Washington","1638","null","97","null","39","32","null","null","530","124","null","null","695","null","126","null","264","86","null","null","110","null","49","null","405","null","119","null","39","32","null","null","282","null","107","null","38","31","null","null","39","33","null","null","7","11","null","null","537","118","null","null","0","12","null","null","132","null","60","null","327","null","96","null","62","37","null","null","16","19","null","null","377","null","115","null","0","null","12","null","46","null","46","null","186","90","null","null","105","60","null","null","40","29","null","null","319","79","null","null","0","null","12","null","70","null","60","null","144","56","null","null","58","43","null","null","47","39","null","null",
"1400000US53033021903","Census Tract 219.03, King County, Washington","2152","null","151","null","188","91","null","null","895","174","null","null","744","null","170","null","235","92","null","null","90","null","60","null","840","null","153","null","119","70","null","null","648","null","145","null","37","42","null","null","17","27","null","null","19","31","null","null","763","148","null","null","47","46","null","null","214","null","103","null","429","null","151","null","73","53","null","null","0","12","null","null","225","null","94","null","22","null","34","null","0","null","12","null","107","75","null","null","59","43","null","null","37","35","null","null","324","102","null","null","0","null","12","null","33","null","42","null","171","75","null","null","86","64","null","null","34","32","null","null",
