"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_001MA","B08201_001EA","B08201_002E","B08201_002EA","B08201_002M","B08201_002MA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004M","B08201_004MA","B08201_004EA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009M","B08201_009MA","B08201_009EA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012EA","B08201_012M","B08201_012MA","B08201_013E","B08201_013EA","B08201_013M","B08201_013MA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021EA","B08201_021M","B08201_021MA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025EA","B08201_025M","B08201_025MA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027M","B08201_027MA","B08201_027EA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030EA","B08201_030M","B08201_030MA",
"1400000US53033000401","Census Tract 4.01, King County, Washington","3542","171","null","null","1062","null","210","null","1567","null","231","null","813","198","null","null","46","48","null","null","54","null","53","null","1883","null","238","null","849","null","177","null","964","228","null","null","49","36","null","null","21","36","null","null","0","null","17","null","1172","null","250","null","213","null","142","null","474","173","null","null","470","null","166","null","0","null","17","null","15","null","24","null","209","null","109","null","0","17","null","null","19","null","31","null","160","100","null","null","15","null","25","null","15","null","24","null","278","null","105","null","0","null","17","null","110","103","null","null","134","null","70","null","10","null","18","null","24","null","39","null",
"1400000US53033000402","Census Tract 4.02, King County, Washington","2392","132","null","null","394","null","145","null","878","null","163","null","658","163","null","null","370","135","null","null","92","null","65","null","1032","null","161","null","267","null","102","null","557","135","null","null","158","100","null","null","50","40","null","null","0","null","17","null","819","null","181","null","127","null","113","null","308","118","null","null","296","null","129","null","51","null","53","null","37","null","44","null","288","null","105","null","0","17","null","null","13","null","22","null","108","64","null","null","167","null","84","null","0","null","17","null","253","null","100","null","0","null","17","null","0","17","null","null","96","null","69","null","102","null","79","null","55","null","57","null",
"1400000US53033000500","Census Tract 5, King County, Washington","1251","73","null","null","16","null","17","null","291","null","76","null","645","87","null","null","226","64","null","null","73","null","40","null","224","null","63","null","7","null","11","null","160","59","null","null","49","29","null","null","0","12","null","null","8","null","12","null","539","null","78","null","9","null","13","null","72","35","null","null","390","null","78","null","50","null","29","null","18","null","20","null","254","null","73","null","0","12","null","null","36","null","30","null","144","61","null","null","47","null","32","null","27","null","24","null","234","null","40","null","0","null","12","null","23","24","null","null","62","null","33","null","129","null","47","null","20","null","22","null",
"1400000US53033000600","Census Tract 6, King County, Washington","3423","109","null","null","241","null","129","null","1462","null","216","null","1221","213","null","null","300","110","null","null","199","null","109","null","1138","null","200","null","172","null","107","null","851","177","null","null","101","74","null","null","14","24","null","null","0","null","17","null","1207","null","186","null","69","null","65","null","360","134","null","null","652","null","169","null","113","null","75","null","13","null","20","null","448","null","152","null","0","17","null","null","62","null","53","null","264","117","null","null","82","null","57","null","40","null","39","null","630","null","140","null","0","null","17","null","189","121","null","null","204","null","79","null","91","null","55","null","146","null","99","null",
"1400000US53033000700","Census Tract 7, King County, Washington","2188","141","null","null","312","null","114","null","1063","null","198","null","633","124","null","null","133","101","null","null","47","null","37","null","863","null","174","null","224","null","96","null","605","156","null","null","34","40","null","null","0","12","null","null","0","null","12","null","714","null","150","null","88","null","65","null","301","113","null","null","235","null","93","null","62","null","48","null","28","null","37","null","272","null","116","null","0","12","null","null","70","null","65","null","202","109","null","null","0","null","12","null","0","null","12","null","339","null","123","null","0","null","12","null","87","56","null","null","162","null","84","null","71","null","86","null","19","null","27","null",
"1400000US53033000800","Census Tract 8, King County, Washington","1040","58","null","null","26","null","25","null","355","null","76","null","455","76","null","null","174","52","null","null","30","null","25","null","296","null","95","null","26","null","25","null","206","86","null","null","55","33","null","null","9","14","null","null","0","null","12","null","420","null","83","null","0","null","12","null","140","55","null","null","229","null","77","null","43","null","30","null","8","null","12","null","131","null","55","null","0","12","null","null","9","null","14","null","64","42","null","null","51","null","36","null","7","null","13","null","193","null","47","null","0","null","12","null","0","12","null","null","107","null","42","null","71","null","40","null","15","null","20","null",
"1400000US53033000900","Census Tract 9, King County, Washington","850","56","null","null","23","null","20","null","249","null","59","null","369","56","null","null","161","41","null","null","48","null","26","null","303","null","68","null","15","null","15","null","205","57","null","null","54","25","null","null","14","16","null","null","15","null","16","null","345","null","58","null","8","null","12","null","38","23","null","null","233","null","55","null","61","null","30","null","5","null","7","null","89","null","31","null","0","12","null","null","6","null","9","null","33","19","null","null","50","null","24","null","0","null","12","null","113","null","28","null","0","null","12","null","0","12","null","null","49","null","18","null","36","null","20","null","28","null","21","null",
"1400000US53033001000","Census Tract 10, King County, Washington","762","43","null","null","49","null","34","null","310","null","62","null","298","61","null","null","92","30","null","null","13","null","12","null","200","null","55","null","9","null","11","null","150","48","null","null","30","28","null","null","5","7","null","null","6","null","8","null","293","null","56","null","0","null","12","null","89","41","null","null","173","null","50","null","31","null","18","null","0","null","12","null","124","null","45","null","18","22","null","null","41","null","35","null","44","23","null","null","19","null","15","null","2","null","4","null","145","null","34","null","22","null","28","null","30","22","null","null","51","null","27","null","37","null","20","null","5","null","7","null",
"1400000US53033001100","Census Tract 11, King County, Washington","1085","73","null","null","51","null","43","null","423","null","99","null","406","84","null","null","159","64","null","null","46","null","44","null","328","null","98","null","45","null","39","null","256","85","null","null","10","14","null","null","17","19","null","null","0","null","12","null","338","null","93","null","6","null","12","null","145","61","null","null","148","null","66","null","39","null","31","null","0","null","12","null","139","null","55","null","0","12","null","null","22","null","22","null","88","47","null","null","29","null","28","null","0","null","12","null","280","null","74","null","0","null","12","null","0","12","null","null","160","null","60","null","74","null","44","null","46","null","44","null",
"1400000US53033001200","Census Tract 12, King County, Washington","3621","170","null","null","991","null","224","null","1579","null","267","null","802","192","null","null","181","91","null","null","68","null","59","null","1922","null","233","null","815","null","216","null","1008","211","null","null","81","81","null","null","0","17","null","null","18","null","29","null","848","null","197","null","56","null","53","null","300","150","null","null","436","null","150","null","38","null","37","null","18","null","29","null","456","null","142","null","64","60","null","null","174","null","104","null","114","75","null","null","104","null","73","null","0","null","17","null","395","null","125","null","56","null","48","null","97","72","null","null","171","null","80","null","39","null","46","null","32","null","38","null",
